Lugar;Direccion;Comida;Ciudad 
Bye Henry;44 entre 17 y 18;Hamburguesa vegana;La Plata
Jock's;49 entre 6 y 7;Hamburguesa vegana;La Plata
Romania;13 entre 45 y 46;"Hamburguesa vegana, falafel, zanahorias asada
";La Plata
Lemmens;49 esquina 16;Hamburguesa vegana;La Plata
Charola;51 entre 4 y 5;Hamburguesa vegana;La Plata
Foodie Special Burguer;5 esquina 51;Hamburguesa vegana;La Plata
Ámsterdam;5 esquina 66;Hamburguesa vegana;La Plata
El Club de la Milanesa;diagonal 74 entre 10 y 46;Hamburguesa vegana;La Plata
El Patio de Cortez;44 y 17;Hamburguesa vegana;La Plata
La Compostera;8 esquina 60;Resto vegano;La Plata
Hans Cocina Natural;14 y 41;Resto vegano;La Plata
Curry Green Market;9 N 644;Almacen vegano;La Plata
Saavedra;3 y 38;Pizza con paparella;La Plata
Pipistrello;46 entre 5 y 6 ;pizza vegana con vegetales y tofu;La Plata
Casablanca;55 entre 8 y 9;Pizza sin queso;La Plata
Roots;10 y diagonal 73;pizzas y empanadas veganas;La Plata
Chido Restobar;Diagonal 74 y 58;Burritos y tacos veganos;La Plata
Empanadas Doritas;34 entre 7 y 8;Empanadas veganas de humita, hongos y verduras;La Plata
Creperie;Diagonal 74 esquina 46;Crepes veganos y sin TACC.;La Plata
Rockabilly;Diagonal 74 entre 8 y 45;Sánguches veganos;La Plata
All Wrap;10 entre 46 y 47;wrap veganos y vegetarianos;La Plata
Nat Sabores Dulces;49 entre 4 y 5;budines veganos licuados o café con leche de almendra;La Plata
La Platense;Av 7  350;facturas, bizcochos, cremonas y masitas dulces veganas;La Plata
Costumbres Argentinas;8 entre 44 y 45;medialunas veganas;La Plata
Lupita;49 10 y 11;papas fritas con guacamole, nachos y otros snacks veganos y vegetarianos;La Plata
La Birrería;10 entre 48 y 49;Hamburguesa vegana;La Plata
Dean & Denny's;49 10 y 11;Hamburguesa vegana;La Plata
Otilia Burguers;41 entre 6 y 7;Hamburguesa vegana;La Plata
Quinquela Birra y Barrio;diagonal 78 esquina 10;Hamburguesa vegana;La Plata
Me Piacce;54 entre 8 y 9;Sanguche vegano;La Plata
Sanguchan;1 y 49;Sanguche vegano;La Plata
